0,0,0,0,0,0,0,0
0.2,0.38432,0.4,0.015684,0.35585,-0.028468,0.38825,0.0039391
0.4,0.68172,0.75232,0.070601,0.60061,-0.081107,0.68918,0.0074661
0.6,0.83721,0.9728,0.13559,0.70942,-0.12779,0.84708,0.0098642
0.8,0.84367,1.0184,0.17473,0.69722,-0.14644,0.85398,0.010311
1,0.73576,0.90343,0.16767,0.60313,-0.13263,0.74424,0.0084833
1.2,0.56863,0.68921,0.12058,0.47155,-0.097075,0.5736,0.0049699
1.4,0.3944,0.45316,0.058756,0.33839,-0.056009,0.39545,0.0010482
1.6,0.24738,0.25573,0.0083586,0.22519,-0.022182,0.24537,-0.0020091
1.8,0.14099,0.12299,-0.018004,0.14003,-0.00095611,0.13744,-0.0035481
2,0.073263,0.050102,-0.023161,0.081867,0.0086042,0.06959,-0.0036722
2.2,0.034791,0.017347,-0.017444,0.045228,0.010437,0.031848,-0.0029428
2.4,0.015125,0.0052444,-0.0098809,0.023719,0.0085935,0.013161,-0.0019645
2.6,0.006028,0.0014702,-0.0045578,0.011854,0.0058262,0.0049017,-0.0011263
2.8,0.0022045,0.00040488,-0.0017997,0.0056659,0.0034613,0.0016414,-0.00056317
3,0.00074046,0.00010888,-0.00063158,0.0025978,0.0018574,0.00049268,-0.00024778
